player,year,round,elo,elo_new
h picard,1948,r1r4,1532.3012643672007,1536.8990241235565
j palmer,1948,r1r4,1499.7850036457721,1502.1657011062712
e vines,1948,r1r4,1497.0075176899543,1499.388151707075
m ward,1948,r1r4,1503.6939681875017,1503.8584428913155
l worsham,1948,r1r4,1493.5592141317538,1493.7234573073174
d shute,1948,r1r4,1513.2387113676705,1511.1870931059948
h mcspaden,1948,r1r4,1459.3969540796613,1455.127801892389
h smith,1948,r1r4,1459.4238918354877,1452.938428039094
s alexander,1948,r1r4,1470.0731722146736,1461.3716349762612
r guldahl,1948,r1r4,1468.8878221984994,1460.1862583138864
k laffoon,1948,r1r4,1499.7580685543835,1491.057204342531
j mchale jr,1948,r1r4,1456.6194701555414,1447.917631501599
f torza,1948,r1r4,1499.7850036457721,1491.0841400496413
r chapman,1948,r1r4,1490.2133257479188,1479.2959317155514
c harper,1948,r1r4,1463.3059152133262,1452.3879138718146
l little jr,1948,r1r4,1499.7311340989766,1488.8139570601
b burke,1948,r1r4,1486.3043618407876,1473.1705668089917
l gibson,1948,r1r4,1504.7715785857922,1491.6382047164134
c wood,1948,r1r4,1422.89093603118,1409.7557269995586
t penna,1948,r1r4,1441.9804173981877,1424.4130044456715
s byrd,1948,r1r4,1368.0255065565705,1343.8075518462267
j farrell,1948,r1r4,1460.4476214151784,1434.01537060936
b nary,1948,r1r4,1444.7525683620274,1413.887343571524
r jones jr,1948,r1r4,1423.995473943836,1388.6971670106002
a kammer,1948,r1r4,1443.1388313225145,1405.6246341268145
e ward jr,1948,r1r4,1411.7001877023065,1374.1852998608715
b rosburg,1948,r1r4,1380.8299577416133,1338.881778680221
j selby,1948,r1r4,1376.4064696643022,1327.8092593271779
s snead,1949,r1,1522.2219581941506,1516.6418117142753
j bulla,1949,r1,1533.4417558049329,1510.4588923280219
l mangrum,1949,r1,1607.8574750475768,1541.3734892592897
j palmer,1949,r1,1502.1657011062712,1516.6418117142753
j turnesa,1949,r1,1410.573570614631,1516.6418117142753
l worsham,1949,r1,1493.7234573073174,1498.0930535555146
j kirkwood jr,1949,r1,1500,1516.6418117142753
j demaret,1949,r1,1536.854179931124,1498.0930535555146
c heafner,1949,r1,1488.1900691909686,1529.0076504867825
b nelson,1949,r1,1584.9302419399305,1504.2759729417683
c harmon,1949,r1,1651.3986385192288,1516.6418117142753
h keiser,1949,r1,1591.6904956117262,1504.2759729417683
h barron,1949,r1,1518.3505727231072,1516.6418117142753
l gibson,1949,r1,1491.6382047164134,1529.0076504867825
b locke,1949,r1,1590.5859200773343,1510.4588923280219
c coe,1949,r1,1500,1491.910134169261
j dawson,1949,r1,1500,1485.7272147830074
j ferrier,1949,r1,1594.4303682989325,1491.910134169261
t holguin,1949,r1,1500,1467.1784566242468
f stranahan,1949,r1,1566.4439930686885,1535.190569873036
p cooper,1949,r1,1500,1498.0930535555146
h picard,1949,r1,1536.8990241235565,1510.4588923280219
b hamilton,1949,r1,1555.9171803850172,1491.910134169261
e harrison,1949,r1,1521.606849193433,1516.6418117142753
l little jr,1949,r1,1488.8139570601,1522.8247311005289
c middlecoff,1949,r1,1579.7604535249634,1498.0930535555146
t penna,1949,r1,1424.4130044456715,1510.4588923280219
h smith,1949,r1,1452.938428039094,1504.2759729417683
f haas jr,1949,r1,1495.3336889222514,1504.2759729417683
s alexander,1949,r1,1461.3716349762612,1510.4588923280219
g fazio,1949,r1,1456.2837227056118,1485.7272147830074
d metz,1949,r1,1581.040948280034,1529.0076504867825
s riegel,1949,r1,1568.736334902112,1504.2759729417683
c wood,1949,r1,1409.7557269995586,1467.1784566242468
a bell,1949,r1,1559.2829105096475,1467.1784566242468
b burke,1949,r1,1473.1705668089917,1498.0930535555146
v ghezzi,1949,r1,1517.228095554772,1498.0930535555146
e vines,1949,r1,1499.388151707075,1498.0930535555146
j revolta,1949,r1,1470.3221214402079,1529.0076504867825
g sarazen,1949,r1,1481.3632879833654,1504.2759729417683
h todd,1949,r1,1589.483202238245,1510.4588923280219
g schneiter,1949,r1,1532.563515182896,1491.910134169261
a smith,1949,r1,1543.5479607575344,1485.7272147830074
h spears,1949,r1,1500,1498.0930535555146
f mosely,1949,r1,1500,1491.910134169261
d shute,1949,r1,1511.1870931059948,1479.544295396754
e furgol,1949,r1,1604.5365860357042,1491.910134169261
o greiner,1949,r1,1500,1491.910134169261
g dahlbender jr,1949,r1,1500,1510.4588923280219
r chapman,1949,r1,1479.2959317155514,1491.910134169261
m turnesa,1949,r1,1530.2913620260808,1485.7272147830074
r sweeny jr,1949,r1,1444.053137186671,1460.9955372379932
j farrell,1949,r1,1434.01537060936,1498.0930535555146
c harbert,1949,r1,1617.409609112229,1516.6418117142753
j mcgonagill,1949,r1,1500,1460.9955372379932
e dudley,1949,r1,1518.3057288498644,1479.544295396754
j de bendern,1949,r1,1500,1467.1784566242468
h mcspaden,1949,r1,1455.127801892389,1442.4467790792326
s snead,1949,r1r2,1516.6418117142753,1528.7920845937476
j bulla,1949,r1r2,1510.4588923280219,1526.8565640353315
l mangrum,1949,r1r2,1541.3734892592897,1574.7619753395315
j palmer,1949,r1r2,1516.6418117142753,1545.7822196263864
j turnesa,1949,r1r2,1516.6418117142753,1541.5346858682267
l worsham,1949,r1r2,1498.0930535555146,1497.5003217592434
j kirkwood jr,1949,r1r2,1516.6418117142753,1541.5346858682267
j demaret,1949,r1r2,1498.0930535555146,1510.2429230337225
c heafner,1949,r1r2,1529.0076504867825,1553.900795903112
b nelson,1949,r1r2,1504.2759729417683,1529.1685776991058
c harmon,1949,r1r2,1516.6418117142753,1528.7920845937476
h keiser,1949,r1r2,1504.2759729417683,1537.663645215425
h barron,1949,r1r2,1516.6418117142753,1528.7920845937476
l gibson,1949,r1r2,1529.0076504867825,1541.158194628633
b locke,1949,r1r2,1510.4588923280219,1522.6090302771718
